Domain,AIN,Type,Town,State,Alex confirmed?,Unnamed: 6,found_about,folder_loc_about,found_faq,folder_loc_faq,found_contact,folder_loc_contact,found,folder_loc
chemeketa.edu,Chemekta Community College,Higher Education,Salem,OR,,,True,./pages/chemeketa.edu/about_page.txt,False,,True,./pages/chemeketa.edu/contact_page.txt,True,./pages/chemeketa.edu/main_page.txt
k12espanola.org,Espa̱ola Public Schools,Schools,Espa̱ola,NM,,,True,./pages/k12espanola.org/about_page.txt,False,,True,./pages/k12espanola.org/contact_page.txt,True,./pages/k12espanola.org/main_page.txt
lascumbres-nm.org,Las Cumbres Community Services,Community Services,Espa̱ola,NM,,,True,./pages/lascumbres-nm.org/about_page.txt,False,,True,./pages/lascumbres-nm.org/contact_page.txt,True,./pages/lascumbres-nm.org/main_page.txt
missionwestcdp.org,Mission West Community Development Partners (redirects from lakecountycdc.org),Community Services,Ronan,MT,,,True,./pages/missionwestcdp.org/about_page.txt,True,./pages/missionwestcdp.org/faq_page.txt,True,./pages/missionwestcdp.org/contact_page.txt,True,./pages/missionwestcdp.org/main_page.txt
mcsd10.org,Maine Consolidated School,Schools,Parks,AZ,,,True,./pages/mcsd10.org/about_page.txt,False,,False,,True,./pages/mcsd10.org/main_page.txt
newmexicoconsortium.org,The New Mexico Consortium (higher ed),Higher Education,Los Alamos,NM,,,True,./pages/newmexicoconsortium.org/about_page.txt,False,,True,./pages/newmexicoconsortium.org/contact_page.txt,True,./pages/newmexicoconsortium.org/main_page.txt
riversideca.gov,City of Riverside,Government,Riverside,CA,,,True,./pages/riversideca.gov/about_page.txt,False,,True,./pages/riversideca.gov/contact_page.txt,True,./pages/riversideca.gov/main_page.txt
cityofstjoseph.com,City of St. Joseph,Government,St. Joseph,MN,,,False,,False,,True,./pages/cityofstjoseph.com/contact_page.txt,True,./pages/cityofstjoseph.com/main_page.txt
define.com,None,,,,,,False,,False,,False,,True,./pages/define.com/main_page.txt
askcmp.com,None,,,,,,True,./pages/askcmp.com/about_page.txt,False,,True,./pages/askcmp.com/contact_page.txt,True,./pages/askcmp.com/main_page.txt
backyardenvironments.com,None,,,,,,False,,False,,False,,True,./pages/backyardenvironments.com/main_page.txt
skipro.com,None,,,,,,True,./pages/skipro.com/about_page.txt,False,,True,./pages/skipro.com/contact_page.txt,True,./pages/skipro.com/main_page.txt
capitalelec.com,Capital Electric Cooperative,Public Utilities and Energy,Bismarck,ND,,,True,./pages/capitalelec.com/about_page.txt,True,./pages/capitalelec.com/faq_page.txt,False,,True,./pages/capitalelec.com/main_page.txt
seabear.com,None,,,,,,True,./pages/seabear.com/about_page.txt,True,./pages/seabear.com/faq_page.txt,True,./pages/seabear.com/contact_page.txt,True,./pages/seabear.com/main_page.txt
highpointnetworks.com,None,,,,,,True,./pages/highpointnetworks.com/about_page.txt,False,,True,./pages/highpointnetworks.com/contact_page.txt,True,./pages/highpointnetworks.com/main_page.txt
checklistaz.com,None,,,,,,True,./pages/checklistaz.com/about_page.txt,True,./pages/checklistaz.com/faq_page.txt,True,./pages/checklistaz.com/contact_page.txt,True,./pages/checklistaz.com/main_page.txt
undertone.org,None,,,,,,False,,False,,False,,True,./pages/undertone.org/main_page.txt
yavapaihumane.org,Yavapai Humane Society,Veterinarians,Prescott,AZ,,,False,,False,,True,./pages/yavapaihumane.org/contact_page.txt,True,./pages/yavapaihumane.org/main_page.txt
ndgga.com,North Dakota Grain Growers Association,Sectoral Association,West Fargo,ND,,,True,./pages/ndgga.com/about_page.txt,False,,True,./pages/ndgga.com/contact_page.txt,True,./pages/ndgga.com/main_page.txt
fhgc.com,None,,,,,,True,./pages/fhgc.com/about_page.txt,True,./pages/fhgc.com/faq_page.txt,True,./pages/fhgc.com/contact_page.txt,True,./pages/fhgc.com/main_page.txt
lakebutlerhospital.com,Lake Butler Hospital,Healthcare,Lake Butler,FL,,,False,,False,,True,./pages/lakebutlerhospital.com/contact_page.txt,True,./pages/lakebutlerhospital.com/main_page.txt
nothingbutnet.com,None,,,,,,True,./pages/nothingbutnet.com/about_page.txt,False,,True,./pages/nothingbutnet.com/contact_page.txt,True,./pages/nothingbutnet.com/main_page.txt
nacog.org,Northern Arizona Council of Governments,Government,Flagstaff,AZ,,,True,./pages/nacog.org/about_page.txt,False,,True,./pages/nacog.org/contact_page.txt,True,./pages/nacog.org/main_page.txt
camelbackwealth.com,None,,,,,,False,,False,,True,./pages/camelbackwealth.com/contact_page.txt,True,./pages/camelbackwealth.com/main_page.txt
archdiosf.org,Archdiocese of Santa Fe,Religious Organizations,Santa Fe,NM,,,True,./pages/archdiosf.org/about_page.txt,True,./pages/archdiosf.org/faq_page.txt,False,,True,./pages/archdiosf.org/main_page.txt
accessmontana.com,Access Montana,Regional ISP,Ronan,MT,,,True,./pages/accessmontana.com/about_page.txt,True,./pages/accessmontana.com/faq_page.txt,True,./pages/accessmontana.com/contact_page.txt,True,./pages/accessmontana.com/main_page.txt
californiatelecom.com,None,,,,,,True,./pages/californiatelecom.com/about_page.txt,False,,True,./pages/californiatelecom.com/contact_page.txt,True,./pages/californiatelecom.com/main_page.txt
completemarkets.com,None,,,,,,True,./pages/completemarkets.com/about_page.txt,True,./pages/completemarkets.com/faq_page.txt,True,./pages/completemarkets.com/contact_page.txt,True,./pages/completemarkets.com/main_page.txt
block-lite.com,None,,,,,,True,./pages/block-lite.com/about_page.txt,False,,True,./pages/block-lite.com/contact_page.txt,True,./pages/block-lite.com/main_page.txt
